Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala;turno_tipo;necessita_sala;turma_ano;turma_num;turma_regime;sala_edificio;Dia_dt;num_sequencia;aula_id;Dia_iso
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL10;MEI-PL-A1;50;Qua;19:30:00;21:00:00;14/12/2022;Sala Aulas Mestrado;AA2.29;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-12-14;5;00010PL10_14122022;2022-12-14
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL10;MEI-PL-A1;50;Qua;18:00:00;19:30:00;14/12/2022;Sala Aulas Mestrado;AA2.29;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-12-14;6;00010PL10_14122022;2022-12-14
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL10;MEI-PL-A1;50;Qui;19:30:00;21:00:00;15/12/2022;Sala Aulas Mestrado;AA2.29;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-12-15;7;00010PL10_15122022;2022-12-15
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL10;MEI-PL-A1;50;Qui;18:00:00;19:30:00;15/12/2022;Sala Aulas Mestrado;AA2.29;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-12-15;8;00010PL10_15122022;2022-12-15
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL12;MEI-A2;9;Ter;16:00:00;17:30:00;22/11/2022;Sala Aulas Mestrado;C5.05;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;2.0;Diurno;C;2022-11-22;1;00010PL12_22112022;2022-11-22
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL12;MEI-A2;9;Ter;14:30:00;16:00:00;22/11/2022;Sala Aulas Mestrado;C5.05;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;2.0;Diurno;C;2022-11-22;2;00010PL12_22112022;2022-11-22
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL12;MEI-A2;9;Ter;16:00:00;17:30:00;29/11/2022;Sala Aulas Mestrado;C5.05;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;2.0;Diurno;C;2022-11-29;3;00010PL12_29112022;2022-11-29
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL12;MEI-A2;9;Ter;14:30:00;16:00:00;29/11/2022;Sala Aulas Mestrado;C5.05;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;2.0;Diurno;C;2022-11-29;4;00010PL12_29112022;2022-11-29
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL12;MEI-A2;9;Ter;16:00:00;17:30:00;06/12/2022;Sala Aulas Mestrado;C5.05;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;2.0;Diurno;C;2022-12-06;5;00010PL12_06122022;2022-12-06
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL12;MEI-A2;9;Ter;14:30:00;16:00:00;06/12/2022;Sala Aulas Mestrado;C5.05;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;2.0;Diurno;C;2022-12-06;6;00010PL12_06122022;2022-12-06
