Curso;Unidade de execução;Turno;Professor;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Características reais da sala;Edifício;Capacidade Normal;Capacidade Exame;Nº características;Anfiteatro aulas;Apoio técnico eventos;Arq 1;Arq 2;Arq 3;Arq 4;Arq 5;Arq 6;Arq 9;BYOD (Bring Your Own Device);Focus Group;Horário sala visível portal público;Laboratório de Arquitectura de Computadores I;Laboratório de Arquitectura de Computadores II;Laboratório de Bases de Engenharia;Laboratório de Electrónica;Laboratório de Informática;Laboratório de Jornalismo;Laboratório de Redes de Computadores I;Laboratório de Redes de Computadores II;Laboratório de Telecomunicações;Sala Aulas Mestrado;Sala Aulas Mestrado Plus;Sala NEE;Sala Provas;Sala Reunião;Sala de Arquitectura;Sala de Aulas normal;videoconferencia;Átrio
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;07/12/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;23/11/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;16/11/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;09/11/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;02/11/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;26/10/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;19/10/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;12/10/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;28/09/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;21/09/2022;Sala de Aulas normal;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
CT;Gestão de Conflitos;00668TP02;Hélia Costa;CI-CT-02;24;Qui;13:00:00;15:00:00;10/11/2022;Sala de Aulas normal;AA3.30;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);24;15;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
CT;Gestão de Conflitos;00668TP02;Hélia Costa;CI-CT-02;24;Qui;13:00:00;15:00:00;03/11/2022;Sala de Aulas normal;AA3.30;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);24;15;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
CT;Gestão de Conflitos;00668TP02;Hélia Costa;CI-CT-02;24;Qui;13:00:00;15:00:00;27/10/2022;Sala de Aulas normal;AA3.30;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);24;15;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
CT;Gestão de Conflitos;00668TP02;Hélia Costa;CI-CT-02;24;Qui;13:00:00;15:00:00;20/10/2022;Sala de Aulas normal;AA3.30;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);24;15;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
CT;Gestão de Conflitos;00668TP02;Hélia Costa;CI-CT-02;24;Qui;13:00:00;15:00:00;13/10/2022;Sala de Aulas normal;AA3.30;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);24;15;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
CT;Gestão de Conflitos;00668TP02;Hélia Costa;CI-CT-02;24;Qui;13:00:00;15:00:00;06/10/2022;Sala de Aulas normal;AA3.30;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);24;15;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;09/12/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;02/12/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;25/11/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;18/11/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;11/11/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
